Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 154654 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.11.12.00-0, 45.21.60.00-4, 45.40.00.00-1, 45.42.10.00-4, 45.43.21.00-5, 45.41.00.00-4, 45.45.00.00-6, 45.44.21.00-8, 45.11.00.00-1, 45.33.23.00-6, 45.33.22.00-5, 45.33.11.00-7, 45.23.13.00-8, 45.33.30.00-0, 45.33.12.10-1, 45.23.14.00-9, 45.31.43.20-0.", Przetarg ograniczony," 4419160,00 PLN.", 5.," 3976000,00"," 3976000,00 "," 4778550,00","Zak≥ad Remontowo - Budowlany TYM-BUD Waldemar Tymoszewski, ul. Komunalna 12, 83-000 Pruszcz GdaÒski, kraj/woj. pomorskie."
 138 - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.34.20.00-6, 45.31.00.00-0, 45.31.22.00-9.", Przetarg ograniczony," 9450197,44 PLN.", 3.," 8137877,54"," 8137877,54 "," 9673242,52","T4B Sp. z o.o., Al. StanÛw Zjednoczonych 32/U15, 04-036 Warszawa, kraj/woj. mazowieckie."
 166 - 2017, Gmina Miejska CiechanÛw reprezentowana przez Prezydenta Miasta CiechanÛw, Roboty budowlane.," 45.11.27.20-8, 45.11.12.40-2, 45.21.22.00-8, 71.32.00.00-7, 45.23.14.00-9, 37.41.50.00-0.", Przetarg ograniczony," 4989024,39 PLN.", 2.," 409100,91"," 409100,91 "," 4218582,65","Konsorcjum firm: Panorama Obiekty Sportowe Sp. z o.o., - lider, ul. Pu≥awska 38, 05-500 Piaseczno, kraj/woj. mazowieckie."
 230 - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.20.00-7, 45.31.22.00-9.", Przetarg ograniczony," 78288,74 PLN.", 4.," 66420,00"," 66420,00 "," 89117,84","HOFFMAN A.D. Sp. z o.o., ul. JeleniogÛrska 67, 54-055 Wroc≥aw, kraj/woj. dolnoúlπskie."
 288 - 2017, PaÒstwowa Szko≥a Muzyczna I i II Stopnia im. Ignacego Paderewskiego w Che≥mie, Roboty budowlane., 45.21.42.00-2., Przetarg ograniczony," 4392075,08 PLN.", 4.," 2884957,19"," 2884957,19 "," 3446094,54","PrzedsiÍbiorstwo Produkcyjno Handlowo Us≥ugowe ANTRO Andrzej TrociÒski, ul. P≥k.St. Dπbka 19, 22-100 Che≥m, kraj/woj. lubelskie."
 902S - 2017, Prowod Sp. z o.o., Roboty budowlane.," 45.25.21.27-4, 45.10.00.00-8, 45.20.00.00-9, 45.30.00.00-0, 45.40.00.00-1, 45.23.11.00-6, 45.23.13.00-8, 45.23.15.00-0, 45.32.10.00-3, 45.33.10.00-6, 45.34.32.00-5, 45.50.00.00-2, 39.00.00.00-2, 45.33.20.00-3, 45.33.12.00-8, 45.33.12.10-1, 45.23.00.00-8, 45.23.14.00-9, 45.31.57.00-5, 45.23.16.00-1, 45.31.00.00-3.", Przetarg ograniczony," 21465317,86 PLN.", 4.," 20020710,00"," 19378251,12 "," 21525000,00","Konsorcjum firm: INØYNIERIA RZESZ”W S.A. oraz PrzedsiÍbiorstwo Inøynierii årodowiska EkoWodrol Sp. z o. o., Podkarpacka 59A, 35-082 RzeszÛw, kraj/woj. podkarpackie."
 1106S - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.10.00-0, 45.33.12.00-8, 45.33.11.00-7, 45.33.00.00-9.", Przetarg ograniczony," 13244050,96 PLN.", 2.," 15763638,39"," 15763638,39 "," 17902476,10","Skanska S.A., ul. Gen. J. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 1232S - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.00.00-3, 45.31.22.00-9.", Przetarg ograniczony," 1997043,12 PLN.", 4.," 1699904,21"," 1699904,21 "," 2425716,53","Hoffman A.D. Sp. z o.o. - lider konsorcjum, ul. JeleniogÛrska 67, 54-055 Wroc≥aw, kraj/woj. dolnoúlπskie."
 1248S - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.22.00-9, 45.31.00.00-3.", Przetarg ograniczony," 382927,84 PLN.", 3.," 455080,53"," 455080,53 "," 521484,53","Control Net Sp. z o.o., Ul. WilkszyÒska 60, 54-079 Wroc≥aw, kraj/woj. dolnoúlπskie."
 1548S - 2017, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 101271421,93 PLN.", 5.," 121829862,90"," 121829862,90 "," 192083082,38","JointVenturefirm:PrzedsiÍbiorstwoRobÛtWodnych i EkologicznychEKO-WODsp.zo.o.-LiderJV,PrzedsiÍbiorstwoWielobranøoweFrans≥awPiotrKalemba-PartnerJV, ul. Towarowa 12-14, 58-100 åwidnica, kraj/woj. dolnoúlπskie."
 78S - 2018, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 193158525,34 PLN.", 5.," 148120087,01"," 148120087,01 "," 217706457,56","Power Construction Corporation of China, Limited, No.22 Chegongzhuang West Road, Haidian District, Beijing, kraj/woj. Chiny."
 152236 - 2016, Ministerstwo Spraw WewnÍtrznych i Administracji, Roboty budowlane.," 45.00.00.00-7, 45.31.00.00-3, 45.33.00.00-9.", Przetarg ograniczony," 3006454,87 PLN.", 4.," 3484000,00"," 2578506,69 "," 3689107,30","FADBET S.A. ul. 42 Pu≥ku Piechoty 46 15-181 Bia≥ystok, ul. 42 Pu≥ku Piechoty 46, 15-181 Bia≥ystok, kraj/woj. mazowieckie."
 152360 - 2016, PieniÒski Park Narodowy, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 700000,00 PLN.", 1.," 835974,35"," 835974,35 "," 835974,35","Zak≥ad Produkcji, Us≥ug wielobranøowych i Handlu Robert Szczepaniak, ul. Skotnicka 51, 31-460 Szczawnica, kraj/woj. ma≥opolskie."
 152382 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.22-1, 45.23.32.00-1, 45.23.24.52-5, 45.23.31.20-6, 45.11.20.00-5, 45.23.30.00-9, 45.23.13.00-8, 45.11.27.10-5, 45.11.00.00-1, 45.23.20.00-2, 45.11.10.00-8, 45.23.12.20-3, 45.23.14.00-9, 45.31.61.10-9.", Przetarg ograniczony," 6005597,76 PLN.", 4.," 4648261,03"," 4648261,03 "," 5958375,76","STRABAG Infrastruktura Po≥udnie Sp. z o. o., Wysoka, ul. Lipowa 5a, 52-200 Wroc≥aw, kraj/woj. dolnoúlπskie."
 152448 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 3139520,00 PLN.", 3.," 2402980,83"," 2402980,83 "," 3178900,00","ELEKTROBUD GRUDZI•DZ Sp. z o.o., Gierymskiego 27, 86-300 Grudziπdz, kraj/woj. kujawsko-pomorskie."
 152604 - 2016, Zak≥ad Inwestycji Organizacji Traktatu PÛ≥nocnoatlantyckiego, Roboty budowlane.," 45.00.00.00-0, 71.32.00.00-7.", Przetarg ograniczony," 349287,00 PLN.", 1.," 552270,00"," 552270,00 "," 552270,00","STEKOP S.A., ul. Mo≥dawska 9, 02-127 Warszawa, kraj/woj. mazowieckie."
 152626 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 35.31.12.00-3, 45.31.43.20-0.", Przetarg ograniczony," 1602637,00 PLN.", 6.," 1602637,00"," 1602637,00 "," 2266990,88","ZEUS S.A. - lider konsorcjum firm, ul. ObroÒcÛw Westerplatte 1, 83-000 Pruszcz GdaÒski, kraj/woj. pomorskie."
 152648 - 2016, Ministerstwo Obrony Narodowej, Roboty budowlane.," 45.31.12.00-2, 45.31.56.00-4, 54.31.21.00-8.", Przetarg ograniczony," 5876900,50 PLN.", 4.," 3062156,49"," 3062156,49 "," 4079354,91","Konsorcjum: HERTZ SYSTEMS LTD Sp. z o.o. (LIDER) , Al. Zjednoczenia 118 A, 65-120 Zielona GÛra , kraj/woj. lubuskie."
 152830 - 2016, Sto≥eczny Zarzπd Infrastruktury, Roboty budowlane.," 71.22.00.00-6, 45.31.42.00-3, 45.31.20.00-7, 45.31.12.00-7.", Przetarg ograniczony," 191500,00 PLN.", 2.," 235348,29"," 235348,29 "," 261637,17","ZBAR PHU Mariusz Popenda, ul. Krakowska 60, 94-214 £Ûdü, kraj/woj. ≥Ûdzkie."
 152938 - 2016, Gmina KleszczÛw, Roboty budowlane.," 45.21.13.40-4, 45.40.00.00-1, 45.42.00.00-7, 45.43.00.00-0, 45.30.00.00-0, 45.33.00.00-9, 45.33.20.00-3, 45.33.22.00-5, 45.33.23.00-6, 45.33.24.00-7, 45.32.00.00-6, 45.32.10.00-3, 45.33.30.00-0, 45.31.00.00-3, 45.31.10.00-0, 45.31.40.00-1, 45.31.43.20-0.", Przetarg ograniczony," 7319856,10 PLN.", 2.," 7295997,81"," 7295997,81 "," 7393067,10","Piotr Machalewski i Witold åwitkowski PrzedsiÍbiorstwo Budowlano-Us≥ugowe WIKTOR Sp. jawna-Lider konsorcjum, ul. Kolejowa 8, 97-500 Radomsko, kraj/woj. ≥Ûdzkie."
 152982 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3, 44.21.22.00-1.", Przetarg ograniczony," 2278617,00 PLN.", 7.," 1749845,20"," 1379903,84 "," 2762119,78","PPHU TELMARK Sp. z o.o., ul. Konstantynowska 83 a, 95-100 Zgierz, kraj/woj. ≥Ûdzkie."
 153052 - 2016, Zak≥ad Inwestycji Organizacji Traktatu PÛ≥nocnoatlantyckiego, Roboty budowlane.," 45.00.00.00-0, 71.32.00.00-7, 45.23.31.40-2.", Przetarg ograniczony," 7456083,83 PLN.", 2.," 9193020,00"," 9193020,00 "," 9453140,94","ZEUS S.A., ul. ObroÒcÛw Westerplatte 1, 83-000 Pruszcz GdaÒski, kraj/woj. pomorskie."
 153094 - 2016, Zak≥ad Inwestycji Organizacji Traktatu PÛ≥nocnoatlantyckiego, Roboty budowlane.," 45.00.00.00-0, 71.32.00.00-7, 44.21.11.00-0.", Przetarg ograniczony," 2795492,00 PLN.", 1.," 2895420,00"," 2895420,00 "," 2895420,00","ZEUS S.A., ul. ObroÒcÛw Westerplatte 1, 83-000 Pruszcz GdaÒski, kraj/woj. pomorskie."
 153108 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.22.00-9, 32.32.35.00-8, 45.31.00.00-3, 45.12.00.00-4.", Przetarg ograniczony," 3457877,97 PLN.", 4.," 2937602,85"," 2937602,85 "," 3340000,00","ZEUS S. A., ul. ObroÒcÛw Westerplatte 1, Pruszcz GdaÒski, kraj/woj. Polska."
 153300 - 2016, ZespÛ≥ Ø≥obkÛw m.st. Warszawy, Roboty budowlane.," 45.00.00.00-7, 45.40.00.00-1, 45.30.00.00-0.", Przetarg ograniczony," 7032881,43 PLN.", 4.," 4715041,15"," 4715041,15 "," 5583333,70","Konsorcjum: Lider Adro SpÛ≥ka cywilna Adam Giernatowski Justyna Giernatowska, ul. Kwiatowa 69, 05-120 Legionowo, kraj/woj. mazowieckie."
 153330 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.40.00-1, 45.00.00.00-7, 32.42.10.00-0, 32.42.20.00-7, 32.42.40.00-1.", Przetarg ograniczony," 10126042,78 PLN.", 5.," 6556204,52"," 5596500,00 "," 8329560,00","Konsorcjum firm Lider AGB Budownictwo Sp. z o.o. Sp. komandytowa, Jacewo 76, 88-100 Inowroc≥aw , kraj/woj. kujawsko-pomorskie."
 153408 - 2016, Centrum Us≥ug WspÛlnych, Roboty budowlane.," 45.00.00.00-0, 45.33.12.00-8, 45.31.00.00-3, 45.40.00.00-1.", Przetarg ograniczony," 418118,00 PLN.", 3.," 454072,38"," 449093,05 "," 919775,72","KLIM-SPAW Sp. z o. o, ul. PowsiÒska 48, 02-903 Warszawa, kraj/woj. mazowieckie."
 153436 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.20.00.00-8, 45.20.00.00-9, 45.22.11.19-9, 45.26.00.00-7, 45.23.23.00-5, 45.23.23.10-8, 45.31.20.00-7, 45.31.00.00-3, 45.31.57.00-5, 45.31.43.00-4, 45.31.12.00-2, 45.31.23.10-3, 45.31.56.00-4, 45.32.14.00-9, 45.31.61.00-6, 45.31.43.10-7, 45.23.24.00-6, 45.23.24.11-6, 45.23.13.00-8, 45.23.23.15-8.", Przetarg ograniczony," 15283198,53 PLN.", 5.," 11671435,56"," 11671435,56 "," 29892321,00","1)STRABAG Sp. z o.o. , ul. Parzniewska 10, 05-800 PruszkÛw, kraj/woj. Polska."
 153452 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 1098823,75 PLN.", 8.," 1195500,43"," 1195500,43 "," 2566845,34","SPRINT S.A. z siedzibπ w Olsztynie, ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 153454 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 1098823,75 PLN.", 8.," 1195500,43"," 1195500,43 "," 2566845,34","SPRINT S.A., u. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 153456 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 1098823,75 PLN.", 8.," 1195500,43"," 1195500,43 "," 2566845,34","SPRINT S.A., ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 147632 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 74.23.20.00-4, 45.23.24.52-5, 45.23.31.20-6.", Przetarg ograniczony," 898373,98 PLN.", 2.," 1076865,00"," 1076865,00 "," 1131180,34","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 147896 - 2016, 20 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny SP ZOZ, Roboty budowlane.," 45.32.10.00-3, 45.31.00.00-3, 45.32.00.00-6, 45.33.00.00-9, 45.45.00.00-6, 45.31.10.00-0, 45.42.10.00-4, 45.11.11.00-9, 45.42.11.41-4, 45.42.11.46-9, 45.43.21.00-5, 45.44.21.00-8, 45.11.12.00-0, 45.31.43.00-4, 45.31.73.00-5.", Przetarg ograniczony," 1137150,00 PLN.", 4.," 1094308,04"," 1094308,04 "," 1859409,33","Zak≥ad Inwestycji Budowlanych Sylwester G£”WCZYK, £abowa 197, £abowa fax.18 475 12 29, kraj/woj. Polska."
 147908 - 2016, Morski Oddzia≥ Straøy Granicznej, Roboty budowlane.," 45.00.00.00-7, 45.11.13.00-1, 45.11.10.00-8, 45.23.32.22-1, 45.43.20.00-4, 45.11.27.00-2, 45.30.00.00-0, 45.33.12.10-1, 45.31.00.00-3, 45.31.53.00-1, 45.31.12.00-2, 45.00.00.00-7.", Przetarg ograniczony," 233882,28 PLN.", 3.," 241080,00"," 81239,99 "," 289050,00","AJM Sp. z o.o., ul. AstronomÛw 9, 80-299 GdaÒsk, kraj/woj. pomorskie."
 148420 - 2016, Biuro Ochrony Rzπdu, Roboty budowlane.," 45.00.00.00-7, 45.33.20.00-3.", Przetarg ograniczony," 173269,85 PLN.", 1.," 198742,40"," 198742,40 "," 198742,40","FADBET SpÛ≥ka Akcyjna, ul. 42 Pu≥ku Piechoty 46, 15-181 Bia≥ystok, kraj/woj. podlaskie."
 148452 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.33.00.00-9, 45.31.00.00-3.", Przetarg ograniczony," 74500,00 PLN.", 3.," 38056,20"," 38056,20 "," 78720,00","AGENCJA OCHRONY OS”B I MIENIA GUARD-SERVICE Sp. z o.o., ul. TatrzaÒska 6a, 60-413 PoznaÒ, kraj/woj. wielkopolskie."
 148468 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.16.00-1, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 868090,00 PLN.", 4.," 802696,83"," 802696,83 "," 954900,19","PrzedsiÍbiorstwo Telekomunikacji TELEKOM WARMIA Sp.z o.o. - lider Konsorcjum Firm, ul. Zientary Malewskiej 49, 10-307 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 148684 - 2016, Urzπd Gminy Komorniki, Roboty budowlane.," 45.20.00.00-9, 45.30.00.00-0.", Przetarg ograniczony," 670980,26 PLN.", 3.," 517814,26"," 517814,26 "," 755837,72","EKO-SOLAR Sp. z o.o., WszeradÛw 2, Namys≥Ûw, kraj/woj. Polska."
 149770 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane., 45.23.20.00-2., Przetarg ograniczony," 201883,00 PLN.", 5.," 139258,14"," 139258,14 "," 268140,00","ATEM Polska Sp. z o.o., ul. £uøycka 2, 81-537 Gdynia, kraj/woj. pomorskie."
 149944 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.20-6, 45.23.32.00-1, 45.23.32.22-1, 45.23.24.52-5.", Przetarg ograniczony," 158188,18 PLN.", 2.," 188017,92"," 188017,92 "," 192793,05","PrzedsiÍbiorstwo Drogowe DROGBUD - GostyÒ Sp. z o. o., GrabonÛg 69b, 63-800 GostyÒ, kraj/woj. wielkopolskie."
 150300 - 2016, Sπd Rejonowy w årodzie ålπskiej, Roboty budowlane.," 45.00.00.00-7, 45.30.00.00-0, 45.31.00.00-3, 45.40.00.00-1, 45.33.00.00-9.", Przetarg ograniczony," 259027,74 PLN.", 1.," 314869,40"," 314869,40 "," 314869,40","FHU TABASZEWSKI Wies≥aw Tabaszewski, ul. Tkacka 1A/2U, 48-300 Nysa, kraj/woj. opolskie."
